variant,method,dataset,seed,test_acc,val_acc,train_time,params,peak_mem_mb
closed_form,AGT-closed,Actor,0,0.3302631676197052,0.3334704041481018,155.7350685709971,60037,270.9951171875
closed+calib,AGT,Actor,0,0.3230263292789459,0.3371710479259491,273.1782738030015,60423,283.33740234375
random,RandomGranularityPolicy,Actor,0,0.3282894790172577,0.33429276943206787,156.6477515269944,60037,270.9658203125
fixed_k2,FixedGranularityPolicy,Actor,0,0.3282894790172577,0.3388157784938812,145.6356914509961,60037,270.9658203125
td3,GRAIN-TD3,Actor,0,0.3282894790172577,0.34416118264198303,321.51309823297197,468488,285.02978515625
closed_form,AGT-closed,Actor,1,0.31973686814308167,0.32976973056793213,155.26150887200492,60037,487.7880859375
closed+calib,AGT,Actor,1,0.3171052634716034,0.33018091320991516,278.768741279986,60423,276.48095703125
random,RandomGranularityPolicy,Actor,1,0.3236842155456543,0.3244243562221527,157.2006831560284,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,1,0.3328947424888611,0.34416118264198303,146.1576963600237,60037,264.109375
td3,GRAIN-TD3,Actor,1,0.31776317954063416,0.3371710479259491,323.54612791299587,468488,278.17333984375
closed_form,AGT-closed,Actor,2,0.3296052813529968,0.3388157784938812,154.87176435100264,60037,487.7880859375
closed+calib,AGT,Actor,2,0.3296052813529968,0.3474506735801697,266.76934613398043,60423,276.48095703125
random,RandomGranularityPolicy,Actor,2,0.32894739508628845,0.3310032784938812,147.13870464501088,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,2,0.3302631676197052,0.33388158679008484,138.05167409600108,60037,264.109375
td3,GRAIN-TD3,Actor,2,0.3256579041481018,0.3334704041481018,315.6525172870024,468488,278.17333984375
closed_form,AGT-closed,Actor,3,0.3348684310913086,0.32771381735801697,146.99410528398585,60037,487.7880859375
closed+calib,AGT,Actor,3,0.32697370648384094,0.328125,269.9630600149976,60423,276.48095703125
random,RandomGranularityPolicy,Actor,3,0.33355265855789185,0.328125,154.37345657299738,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,3,0.33552631735801697,0.3371710479259491,143.49224791201414,60037,264.109375
td3,GRAIN-TD3,Actor,3,0.3322368562221527,0.33552631735801697,329.0059154390183,468488,278.17333984375
closed_form,AGT-closed,Actor,4,0.33815792202949524,0.3231907784938812,155.62618349399418,60037,487.7880859375
closed+calib,AGT,Actor,4,0.3388158082962036,0.32976973056793213,240.27538714100956,60423,276.48095703125
random,RandomGranularityPolicy,Actor,4,0.32236844301223755,0.32483553886413574,153.86469261499587,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,4,0.33157896995544434,0.33634868264198303,143.63290021099965,60037,264.109375
td3,GRAIN-TD3,Actor,4,0.3309210538864136,0.3268914520740509,330.90954778098967,468488,278.17333984375
closed_form,AGT-closed,Actor,5,0.343421071767807,0.3334704041481018,152.85972979900544,60037,487.7880859375
closed+calib,AGT,Actor,5,0.3480263352394104,0.3268914520740509,256.4336477800098,60423,276.48095703125
random,RandomGranularityPolicy,Actor,5,0.3407894968986511,0.32606908679008484,153.94714106299216,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,5,0.33815792202949524,0.32606908679008484,142.412421763991,60037,264.109375
td3,GRAIN-TD3,Actor,5,0.33157896995544434,0.3215460479259491,325.4364312120015,468488,278.17333984375
closed_form,AGT-closed,Actor,6,0.3256579041481018,0.34046053886413574,152.57517931598704,60037,487.7880859375
closed+calib,AGT,Actor,6,0.3302631676197052,0.34169408679008484,265.78673032301595,60423,276.48095703125
random,RandomGranularityPolicy,Actor,6,0.32894739508628845,0.3371710479259491,147.36788493697532,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,6,0.343421071767807,0.3347039520740509,137.16270484399865,60037,264.109375
td3,GRAIN-TD3,Actor,6,0.3328947424888611,0.3400493562221527,321.76074690397945,468488,278.17333984375
closed_form,AGT-closed,Actor,7,0.34276318550109863,0.32113486528396606,145.6633836819965,60037,487.7880859375
closed+calib,AGT,Actor,7,0.3263157904148102,0.32853618264198303,256.2757711769955,60423,276.48095703125
random,RandomGranularityPolicy,Actor,7,0.3309210538864136,0.32236841320991516,147.338233810995,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,7,0.3276315927505493,0.32976973056793213,136.98284060199512,60037,264.109375
td3,GRAIN-TD3,Actor,7,0.3309210538864136,0.32360199093818665,314.20198590500513,468488,278.17333984375
closed_form,AGT-closed,Actor,8,0.3309210538864136,0.33675986528396606,145.54362548299832,60037,487.7880859375
closed+calib,AGT,Actor,8,0.339473694562912,0.3408717215061188,243.88973062299192,60423,276.48095703125
random,RandomGranularityPolicy,Actor,8,0.32697370648384094,0.33634868264198303,146.90968454797985,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,8,0.32894739508628845,0.328125,137.26711838899064,60037,264.109375
td3,GRAIN-TD3,Actor,8,0.3348684310913086,0.33429276943206787,299.3806358749862,468488,278.17333984375
closed_form,AGT-closed,Actor,9,0.34473684430122375,0.3318256735801697,146.0236715489882,60037,487.7880859375
closed+calib,AGT,Actor,9,0.34473684430122375,0.3305920958518982,256.68744481902104,60423,276.48095703125
random,RandomGranularityPolicy,Actor,9,0.33815792202949524,0.3252467215061188,146.68975381398923,60037,264.109375
fixed_k2,FixedGranularityPolicy,Actor,9,0.3407894968986511,0.3310032784938812,135.95302538899705,60037,264.109375
td3,GRAIN-TD3,Actor,9,0.3526315987110138,0.3310032784938812,312.9819028790225,468488,278.17333984375
