dataset,seed,agt_time,implicit_time,td3_time,agt_speedup,implicit_speedup,agt_params,implicit_params,td3_params,agt_mem_mb,implicit_mem_mb,td3_mem_mb
Cora,0,90.94272577902302,53.07726927098702,108.22880633600289,1.1900765609223372,2.0390801528134133,92617,92617,693066,156.10498046875,304.31591796875,171.404296875
Cora,1,92.42479012499098,50.152115267002955,97.592279650009,1.055910211081137,1.9459254934800088,92617,92617,693066,156.3759765625,304.26025390625,171.67529296875
Cora,2,85.82042507000733,52.610805455973605,101.78361474600388,1.1860068819628276,1.9346522803415287,92617,92617,693066,156.10498046875,303.9892578125,171.404296875
Cora,3,88.71579927700805,56.455805762001546,106.4013430030027,1.1993505539049807,1.8846838082792499,92617,92617,693066,156.3759765625,304.26025390625,171.67529296875
Cora,4,88.29410478001228,51.33695591700962,104.87466682400554,1.187787871968398,2.0428688252093483,92617,92617,693066,156.10498046875,303.9892578125,171.404296875
Cora,5,87.49872753600357,47.30987439601449,95.64097047501127,1.0930555582726316,2.0215858041480725,92617,92617,693066,156.3759765625,304.26025390625,171.67529296875
Cora,6,87.97863165198942,52.96785104001174,90.77332332899095,1.0317655733503142,1.7137437435477814,92617,92617,693066,156.10498046875,303.9892578125,171.404296875
Cora,7,84.53995188500267,49.08519187598722,94.58031544499681,1.1187647181731517,1.9268604609706352,92617,92617,693066,156.3759765625,304.26025390625,171.67529296875
Cora,8,85.7741621999885,51.58934768801555,94.2407395009941,1.0987077819689475,1.8267480347088525,92617,92617,693066,156.10498046875,303.9892578125,171.404296875
Cora,9,87.4017838340078,53.91130790099851,99.39759261798463,1.1372490154978885,1.8437243778339805,92617,92617,693066,156.3759765625,304.26025390625,171.67529296875
Actor,0,221.3287438529951,132.54421390101197,325.2188124829845,1.4693925733342272,2.453662841335856,60423,60423,468488,278.95947265625,567.4619140625,281.11181640625
Actor,1,263.16577048102045,146.3428289279982,321.66906150599243,1.222305852763596,2.198051410255682,60423,60423,468488,276.02099609375,564.5234375,278.17333984375
Actor,2,269.7000492940133,150.7887000440096,286.58185297998716,1.0625947371169004,1.9005525805073231,60423,60423,468488,278.95947265625,567.4619140625,281.11181640625
Actor,3,258.1577196440194,155.92147310700966,315.6859287309926,1.2228413280311756,2.0246469100143494,60423,60423,468488,276.02099609375,563.5439453125,278.17333984375
Actor,4,247.7546377419785,134.45487612401485,318.8249243350001,1.2868575427719622,2.3712410700593036,60423,60423,468488,278.95947265625,567.4619140625,281.11181640625
Actor,5,251.37731583198183,148.16605919998256,337.44809447799344,1.3423967606669032,2.2774992889736865,60423,60423,468488,277.00048828125,564.5234375,279.15283203125
Actor,6,265.1634820539912,175.38416466899798,416.3217566550011,1.570056907648512,2.3737705022612725,60423,60423,468488,278.95947265625,566.482421875,281.11181640625
Actor,7,322.88527558898204,170.8634410389932,333.61193884001113,1.0332212834154866,1.9525062635480734,60423,60423,468488,277.00048828125,564.5234375,279.15283203125
Actor,8,292.06962872098666,165.4414102390001,353.3283774399897,1.2097402218343056,2.1356707303785925,60423,60423,468488,278.95947265625,566.482421875,281.11181640625
Actor,9,285.51141958800144,156.02813645201968,277.23319676399115,0.971005633203898,1.7768154069393973,60423,60423,468488,277.00048828125,564.5234375,279.15283203125
Chameleon,0,78.05783854000038,42.1906210029847,88.27000839801622,1.1308282428648426,2.0921713475554604,149575,149575,1092552,209.46630859375,425.05322265625,237.38037109375
Chameleon,1,76.10961437399965,40.462831855984405,87.94794294598978,1.1555431422082505,2.1735488820707043,149575,149575,1092552,209.46630859375,425.05322265625,237.8369140625
Chameleon,2,77.3079938509909,44.31073614300112,94.40958383999532,1.2212137340152338,2.1306254884891436,149575,149575,1092552,209.46630859375,425.05322265625,238.87646484375
Chameleon,3,70.70997304501361,45.659419775009155,93.23178814499988,1.3185097395759011,2.041896033817508,149575,149575,1092552,209.46630859375,425.05322265625,239.20703125
Chameleon,4,76.58598622499267,49.41354816200328,100.24263657600386,1.308890066147522,2.0286468044625416,149575,149575,1092552,209.46630859375,425.05322265625,238.87646484375
Chameleon,5,89.51841539499583,47.266196440992644,116.26826935401186,1.2988195651250478,2.4598609177102233,149575,149575,1092552,209.46630859375,425.05322265625,239.20703125
Chameleon,6,104.8164315840113,67.1808378350106,141.3588038200105,1.348632095977339,2.10415363034283,149575,149575,1092552,209.46630859375,425.05322265625,239.9521484375
Chameleon,7,106.51502567599528,78.23973497198313,138.38943822000874,1.299248038872668,1.7687871548844667,149575,149575,1092552,209.46630859375,425.05322265625,237.8359375
Chameleon,8,113.65940276600304,72.97109237601398,148.64364455800387,1.3077989232797997,2.0370209588210013,149575,149575,1092552,209.46630859375,425.05322265625,239.9521484375
Chameleon,9,118.2640854229976,71.34310233799624,145.43997130301432,1.2297898451826366,2.038598918981341,149575,149575,1092552,209.46630859375,425.05322265625,237.8369140625
Squirrel,0,266.5652856939996,155.06854416400893,352.1417658350256,1.3210338507440254,2.270878131560849,134471,134471,986824,413.701171875,854.6220703125,429.673828125
Squirrel,1,267.46947964598075,141.6428995350143,310.96289583700127,1.1626107630993556,2.195400523837278,134471,134471,986824,413.701171875,854.6220703125,428.65478515625
Squirrel,2,270.06657755500055,157.6023115029966,308.62252519102185,1.1427646026586507,1.958236032503583,134471,134471,986824,414.39111328125,855.31201171875,429.599609375
Squirrel,3,281.5631529869861,125.48681529099122,266.5855457150028,0.946805513743215,2.124410800424076,134471,134471,986824,414.10205078125,855.02294921875,428.65478515625
Squirrel,4,200.77504276900436,128.8463804810017,199.7085430290026,0.9946880861022713,1.5499740255291805,134471,134471,986824,414.39111328125,855.31201171875,430.1591796875
Squirrel,5,165.3461315120221,103.65190528699895,207.22483257000567,1.2532789892029534,1.9992380458055878,134471,134471,986824,414.10205078125,855.02294921875,428.65478515625
Squirrel,6,168.72237273401697,100.95524386499892,226.21495592300198,1.3407525763024883,2.2407449802756654,134471,134471,986824,414.39111328125,855.31201171875,430.3701171875
Squirrel,7,169.80703410200658,101.35457475800649,215.6938055329956,1.2702289199835144,2.1281111982166045,134471,134471,986824,414.10205078125,855.02294921875,429.138671875
Squirrel,8,164.39380764501402,100.73068415600574,204.74822582502384,1.2454740769016657,2.0326301517809795,134471,134471,986824,414.39111328125,855.31201171875,430.3701171875
Squirrel,9,161.88245044698124,92.27364166599,189.90681941100047,1.1731155470320582,2.0580830666510463,134471,134471,986824,414.10205078125,855.02294921875,428.095703125
