method,dataset,seed,test_acc,val_acc,train_time,params,peak_mem_mb
AGT,Texas,0,0.7027027010917664,0.6101694703102112,5.530885016021784,109767,29.24560546875
AGT,Texas,1,0.7027027010917664,0.6610169410705566,5.540759229013929,109767,29.24560546875
AGT,Texas,2,0.5675675868988037,0.694915235042572,5.40036098001292,109767,29.24560546875
AGT-Implicit,Texas,0,0.7297297716140747,0.7288135886192322,2.105699278006796,109767,41.865234375
AGT-Implicit,Texas,1,0.6756756901741028,0.7118644118309021,2.0824664380052127,109767,41.865234375
AGT-Implicit,Texas,2,0.6486486792564392,0.694915235042572,2.0599416629993357,109767,41.865234375
GRAIN-TD3,Texas,0,0.7027027010917664,0.5762711763381958,4.460250231000828,813896,57.0322265625
GRAIN-TD3,Texas,1,0.7027027010917664,0.6779661178588867,4.0374262900149915,813896,62.41015625
GRAIN-TD3,Texas,2,0.5675675868988037,0.6779661178588867,4.698719852982322,813896,50.44091796875
AGT,Actor,0,0.3236842155456543,0.3334704041481018,229.32048454499454,60423,282.87744140625
AGT,Actor,1,0.31776317954063416,0.3400493562221527,236.5302477439982,60423,282.87744140625
AGT,Actor,2,0.32434213161468506,0.32771381735801697,222.35393204700085,60423,282.87744140625
AGT-Implicit,Actor,0,0.33157896995544434,0.3412829041481018,83.86141897802008,60423,571.22265625
AGT-Implicit,Actor,1,0.32697370648384094,0.34046053886413574,84.1589941070124,60423,571.22265625
AGT-Implicit,Actor,2,0.339473694562912,0.33799341320991516,82.04591724000056,60423,571.22265625
GRAIN-TD3,Actor,0,0.3230263292789459,0.3347039520740509,152.2683258059842,468488,285.02978515625
GRAIN-TD3,Actor,1,0.3105263411998749,0.32236841320991516,169.76384877201053,468488,285.02978515625
GRAIN-TD3,Actor,2,0.3322368562221527,0.3371710479259491,156.16700339698582,468488,285.02978515625
