dataset,seed,geomgcn_acc,official_acc
Texas,0,0.7027027010917664,0.5346534848213196
Texas,1,0.7297297716140747,0.6138613820075989
Texas,2,0.5945945978164673,0.5742574334144592
Texas,3,0.6756756901741028,0.4356435537338257
Texas,4,0.6216216087341309,0.42574256658554077
Actor,0,0.3375000059604645,0.32887187600135803
Actor,1,0.3230263292789459,0.33652007579803467
Actor,2,0.3315789699554443,0.3488117754459381
Actor,3,0.3269737064838409,0.3173995912075043
Actor,4,0.3230263292789459,0.3392515480518341
Cora,0,0.8732393980026245,0.8601236343383789
Cora,1,0.9114688038825988,0.8601236343383789
Cora,2,0.9014084339141846,0.8608964085578918
Cora,3,0.8913480639457703,0.8616692423820496
Cora,4,0.8873239159584045,0.8601236343383789
Chameleon,0,0.6030701994895935,0.6065873503684998
Chameleon,1,0.6359649300575256,0.6129917502403259
Chameleon,2,0.5877193212509155,0.6056724786758423
Chameleon,3,0.6030701994895935,0.5937786102294922
Chameleon,4,0.594298243522644,0.607502281665802
